Coculture_t24h_Donor1_IL-15-1ng-mL	Coculture_t24h_Donor1_IL-15-1nM	Coculture_t24h_Donor1_IL-15-Monalizumab	Coculture_t24h_Donor1_Mabkine	Coculture_t24h_Donor1_Monalizumab	Coculture_t24h_Donor2_IL-15-1ng-mL	Coculture_t24h_Donor2_IL-15-1nM	Coculture_t24h_Donor2_IL-15-Monalizumab	Coculture_t24h_Donor2_Mabkine	Coculture_t24h_Donor2_Monalizumab	Coculture_t24h_Donor3_IL-15-1ng-mL	Coculture_t24h_Donor3_IL-15-1nM	Coculture_t24h_Donor3_IL-15-Monalizumab	Coculture_t24h_Donor3_Mabkine	Coculture_t24h_Donor3_Monalizumab
SNORD115-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-30	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SNORD115-31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-36	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0
SNORD115-37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-38	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-4	0	0	0	0	0	0	0	0	0	0	1.24841	0	0	0	0
SNORD115-40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-43	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0
SNORD115-44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-45	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SNORD115-47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-8	0	0	0	1	0	0	0	0	0	0	1.24841	0	0	0	0
SNORD115-9	0.666666	0	0	0	0	0	0	0	0	0	0	0	0	0.666666	0.444444
SNORD116-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
SNORD116-10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
SNORD116-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD116-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SNORD116-13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SNORD116-14	1.55556	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SNORD116-15	3.11111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD116-16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SNORD116-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
SNORD116-18	2.33333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD116-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
SNORD116-2	0	0	0	0	0	0	1	0	0	0	0	0.5	0	0	0
SNORD116-20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SNORD116-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD116-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD116-23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD116-24	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
SNORD116-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD116-26	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
SNORD116-27	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SNORD116-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD116-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD116-3	0	0	0	0	0	0.25	0	0.25	0	0	0.5	0	0	0	0.5
SNORD116-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD116-5	0	0	0	0	0	0.25	0	0.25	0	0	0.5	0	0	0	0
SNORD116-6	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
SNORD116-7	0	0	0	0	0	0.25	0	0.25	0	0	0.5	0	0	0	0
SNORD116-8	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
SNORD116-9	0	0	0	0	0	0.25	0	0.25	0	0	0.5	0	0	0	0.5
SNORD117	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
SNORD119	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0
SNORD11B	0	0	2	3	0	0	2	0	0	0	0	0	1	0	0
SNORD12	0	0	4	4	1	0	2	0	0	0	0	1	3	5	0
SNORD121A	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
SNORD121B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SNORD123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD124	9	0	0	1	0	2	1	1	1	3	0	0	1	2	0
SNORD125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD126	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
SNORD127	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SNORD12B	0	2	4	3	0	0	5	1	0	0	0	1	0	0	0
SNORD12C	53	14	28	39	8	3	18	20	23	11	5	4	10	15	3
SNORD15A	4	2	1	0	0	0	0	0	1	1	1	0	1	0	0
SNORD15B	4	1	2	3	0	1	3	2	3	1	0	1	1	2	1
SNORD16	0	2	2	7	0	1	3	2	8	3	0	1	4	3	4
SNORD17	37	25	58	81	11	3	11	7	16	8	4	20	25	27	6
SNORD18A	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2
SNORD18B	0	1	2	2	1	1	1	0	0	0	0	0	0	0	0
SNORD18C	7	3	3	10	0	0	3	0	9	4	1	2	4	0	0
SNORD19	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0
SNORD19B	1	1	2	4	0	0	0	2	0	0	0	1	2	4	0
SNORD1A	7	0	3	5	1	0	1	1	2	0	0	1	0	2	0
SNORD1B	2	1	1	0	0	0	0	0	1	0	0	0	0	5	0
SNORD1C	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0
SNORD2	0	4	2	2	2	4	2	2	1	0	1	0	0	1	1
SNORD20	1	0	1	0	0	0	0	1	0	0	2	2	0	3	0
SNORD21	0	2	1	8	0	0	0	1	0	1	0	1	0	1	0
SNORD22	7	5	4	25	0	0	9	3	10	3	3	3	5	4	1
SNORD23	0	6	8	13	5	2	5	8	12	2	4	6	3	6	0
SNORD24	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
SNORD25	6	3	1	12	0	0	6	2	3	0	0	3	5	2	5
SNORD26	3	1	0	3	0	2	2	0	1	1	0	3	1	3	2
SNORD27	3	0	2	2	1	0	1	3	0	0	0	2	1	3	2
SNORD28	7	1	3	2	1	0	1	3	4	0	0	1	1	1	1
SNORD29	0	2	1	7	1	1	6	2	7	0	0	0	5	3	0
SNORD30	2	0	1	4	1	0	3	2	4	1	0	1	3	0	0
SNORD31	3	3	4	8	0	2	5	7	10	0	3	1	2	7	0
SNORD32A	10	10	7	14	0	2	10	5	8	4	3	11	11	9	2
SNORD32B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD33	1	3	4	8	2	1	1	3	2	4	0	1	3	2	2
SNORD34	0	2	6	5	0	2	2	2	5	1	1	1	3	5	0
SNORD35A	3	2	3	12	1	2	3	6	11	2	1	2	1	3	0
SNORD35B	53	9	25	26	8	6	16	27	20	16	4	9	5	12	26
SNORD36A	15	6	12	12	1	1	10	12	18	0	2	2	3	6	4
SNORD36B	1	2	0	0	0	0	0	1	0	0	0	2	0	0	2
SNORD36C	1	0	3	4	1	0	0	0	1	2	0	3	1	6	1
SNORD37	0	1	0	1	0	2	1	5	0	0	0	0	2	0	0
SNORD38A	13	6	12	26	2	1	9	4	9	4	0	3	6	8	3
SNORD38B	4	4	5	4	5	3	5	4	5	0	0	3	4	0	4
SNORD41	1	0	0	2	0	0	0	1	0	2	0	0	1	0	1
SNORD42A	12	11	5	5	8	12	16	2	6	4	10	11	11	13	15
SNORD42B	12	1	6	6	0	2	1	5	5	2	0	4	0	4	0
SNORD43	1	1	2	6	2	1	3	4	5	1	0	2	1	2	0
SNORD44	1	3	4	5	1	0	3	2	2	3	1	4	2	8	0
SNORD45A	1	0	0	5	1	0	0	0	1	0	2	1	0	0	2
SNORD45B	1	0	0	1	2	0	2	1	0	2	1	4	1	1	0
SNORD45C	3	3	0	2	0	0	3	1	1	2	2	1	5	1	0
SNORD46	12	4	0	19	0	2	1	3	6	0	0	1	0	2	3
SNORD47	9	17	23	28	4	5	19	20	27	7	1	13	13	17	6
SNORD48	11	7	6	15	4	3	15	22	18	8	1	5	4	15	0
SNORD49A	7	1	14	6	3	0	9	6	7	1	1	3	2	6	1
SNORD49B	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0
SNORD4A	3	9	6	13	2	1	7	2	5	3	1	2	3	3	1
SNORD4B	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0
SNORD5	2	2	3	4	1	0	4	2	3	2	0	3	0	0	2
SNORD50A	14	8	4	4	6	2	7	3	3	6	3	4	0	4	2
SNORD50B	13	5	8	7	2	3	7	9	9	0	1	5	6	3	0
SNORD51	0	1	0	1	1	2	2	0	6	0	2	0	1	0	0
SNORD52	7	4	7	13	2	5	12	11	17	5	1	7	9	7	0
SNORD53	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
SNORD54	1	0	1	2	2	0	0	0	1	1	1	0	0	0	4
SNORD55	13	2	10	17	0	2	9	7	18	5	1	4	10	9	2
SNORD56	12	12	16	12	8	0	13	19	15	3	1	10	7	16	5
SNORD56B	5	2	1	1	2	3	3	2	2	1	1	0	1	0	3
SNORD57	8	4	12	11	4	2	8	5	8	2	1	5	8	7	3
SNORD58A	0	1	4	4	0	1	0	2	1	0	2	0	3	0	0
SNORD58B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD58C	3	0	2	7	1	2	4	4	2	1	1	0	1	3	2
SNORD59A	1	0	0	0	2	0	0	1	0	0	0	0	0	1	5
SNORD59B	2	1	0	0	0	0	0	0	0	3	0	1	0	0	0
SNORD6	2	2	0	0	1	0	1	1	1	2	0	0	0	0	0
SNORD60	14	8	17	48	3	2	6	12	15	4	2	13	5	11	4
SNORD61	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SNORD62A	2	0.5	0	0.5	0	0.5	0.5	0.5	1	3	0.5	1	0.5	0	0.5
SNORD62B	2	0.5	0	0.5	0	0.5	0.5	0.5	1	3	0.5	1	0.5	0	0.5
SNORD63	19	5	16	11	2	6	9	6	5	5	2	10	6	17	1
SNORD64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD65	0	1	0	0	0	0	1	4	0	1	0	0	0	0	0
SNORD66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD67	0	0	0	0	0	1	2	0	0	1	0	1	0	3	0
SNORD68	6	16	25	26	3	2	15	15	12	15	2	5	14	24	4
SNORD69	5	2	5	9	0	1	1	3	2	1	0	4	1	3	3
SNORD7	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1
SNORD70	3	0	1	0	0	0	0	0	1	1	0	0	1	1	0
SNORD71	3	0	1	0	1	0	0	0	0	4	1	0	1	0	0
SNORD72	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
SNORD73A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD74	11	3	6	8	4	0	0	1	8	0	0	1	4	0	0
SNORD75	0	1	0	0	0	1	3	0	0	1	0	0	1	0	0
SNORD76	0	2	1	4	1	1	3	2	8	1	0	1	2	4	1
SNORD77	0	2	1	1	0	0	2	0	1	3	0	1	1	0	1
SNORD78	1	0	5	0	0	0	2	1	3	0	1	1	0	0	0
SNORD79	6	1	4	7	1	0	8	1	6	3	0	5	4	10	2
SNORD8	5	2	2	5	1	4	2	3	2	4	4	0	2	2	5
SNORD80	7	11	9	30	3	2	11	9	13	2	2	4	10	8	0
SNORD81	1	3	2	2	0	2	3	4	0	3	0	3	4	4	4
SNORD82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD83A	2	3	3	10	0	1	7	1	6	0	1	1	3	4	0
SNORD83B	9	20	16	44	5	3	5	19	7	4	2	15	12	18	7
SNORD84	2	2	7	12	0	1	2	0	4	3	1	1	6	1	1
SNORD85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD86	0	0	4.093	0	0	0	0	0	0	0	0	0	2.16918	0	0
SNORD87	7	14	3	14	6	2	7	7	8	11	1	6	5	7	6
SNORD88A	0	1	3	0	0	1	0	0	1	3	0	0	1	0	0
SNORD88B	6	22	29	40	4	3	31	28	24	9	3	20	11	23	3
SNORD88C	0	1	2	0	1	0	1	1	0	0	0	2	1	3	0
SNORD89	17	0	0	10	0	2	5	1	0	1	0	0	3	4	4
SNORD9	4	1	0	0	0	0	0	1	0	0	1	0	0	0	1
SNORD90	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SNORD91A	0	1	4	0	0	0	0	1	0	1	1	0	0	0	0
SNORD91B	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
SNORD92	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SNORD93	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SNORD94	3	1	0	0	0	1	2	1	2	0	0	2	1	1	2
SNORD95	5	2	4	7	1	3	1	1	4	3	1	4	0	1	0
SNORD96A	24	4	10	20	5	1	6	12	16	3	3	5	9	10	9
SNORD96B	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SNORD97	4	0	0	0	0	0	1	0	0	0	0	2	0	0	0
SNORD98	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0
SNORD99	28	24	41	52	15	4	22	46	30	15	4	14	19	27	13
SNPH	1	1	2	0	11	4	5	4	6	0	4	1	3	3	13
SNRK	565.935	125	107.698102394	125	96.7265000670267	168.0005	126.599	105.999515456	179.0649	222.6101	214.21794	121.30900001095	133	139.2559	295.941
SNRK-AS1	3.06483	0	5.30162	0	4.27346	0	2.40068	0	8.93506	3.39019	5.78192	7.69131	0	5.74411	6.05927
SNRNP200	4312	1102	1738	2878.97	1085	1158	1846	1758	2236	1484	1027	1557	1501	2078	1562
SNRNP25	1327	822	1231	2153	465	585	1224	1519	1924	870	544	1093	1214	1866	937
SNRNP27	521.9998	248.0003	339.9997	484.9998	161.9996	152.9995	317.9995	310	442	208.0002	115	193.0004	262	372	214.9997
SNRNP35	927	224.9996	408.9998	771	236.0005	249	288	397.9995	511.9998	416.0003	222.9999	351.0001	318	466.9998	323
SNRNP40	1314	761	871	1843	410	458	1140	977	1331	595	400	941	854	1150	477
SNRNP48	293.822	83.0251	145.101	226.368	66	102	112.716	139.821	152.799	102.014	99	99	127.365	179.275	102.735
SNRNP70	461	271	487	599	217	228	330	356	420	323	216	392	306	431	214
SNRPA	963	575	742	1146	300	163	437	503	601	392	181	440	476	775	279
SNRPA1	801	1101	1486	2173	312	312	1390	1513	1820	411	188	1030	1150	1326	281
SNRPB	4876	4779	7158	11383	2080.997	1633.004	6742	7740	8127	2529.995	1134	6271	6057	7923	1853.003
SNRPB2	762	457.0004	667.9998	1050.9997	245.0004	228.9998	652.0003	751.0004	744.9995	326.0003	175.9999	498.0001	525.9998	658.9998	274.0004
SNRPC	1326.9987	973.00045	1490	2375.995	451.9998	410.9997	1532.001	1650.9988	1733.9952	573.0001	267.0003	992.9996	1047.9972	1519.9958	460.0004
SNRPD1	1836	2156	3535	4485	835	524	2696	3118	3196	777	300	2287	2187	3176	498
SNRPD2	4664.0027	3663.9988	5248.9965	7330.0025	1581.999	1633.0045	4941.9993	5483.9952	5606.0044	2196.0031	1300.99627	4139	3725.0043	5420.0048	2038.99661
SNRPD2P2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
SNRPD3	1727.23	1539.92	2488.16	3333.14	755.145	616.754	1910.95	2296.25	2296.02	860.131	511.922	1647.07	1621.92	2294.96	715.901
SNRPE	965	843	1385	1863	456	295	1155	1329	1386	426	216	882	777	1197	314
SNRPF	1095	1072	1683	2108	468	293	1109	1375	1287	419	194	765	716	1058	298
SNRPG	1362	1145	1585	2230	528	423	1657	1760	1840	607	296	1299	1359	1594	443
SNRPN	730.283	103.145	166.97831	267.039	185.693	181.44506	180.618	186.788	292.533	256.4346	185.965	161.311	144	229.913	325.91
SNTA1	80	3	27	12	16	14	36	16	40	9	6	38	41	52	18
SNTB1	16	22	22	38	9	24	50	74	66	63	41	53	66	77	47
SNTB2	591.95	126.916	201.431	326.31	164.454	191.599	191.424	166.458	266.488	294.241	201.707	185.312	186.567	210.972	312.936
SNTG1	1	0	1	1	1	0	1	0	0	2	0	0	0	0	0
SNTG2	2	0	1	0	0	2	0	0	0	1	1	1	1	0	2
SNTN	34.2226	7.7026	14.4461	15.6753	16.8326	26.2296	7.96108	17.4069	14.0555	12.4157	17.0554	16.2599	10.1597	16.372	27.1452
SNUPN	770	199.0003	340	437	158	136.0003	243.00067	201.9999	310	167.00002	118	179	235.99926	300.0007	152.0004
SNURF	821.7169	114.8559	180.022	298.9615	210.3064	197.5541	203.382	198.2122	313.4664	278.5657	197.0347	171.6893	156.9995	249.0878	370.0897
SNW1	1300	473	691	1151	378	394	584	649	777	536	426	475	516	817	550
SNX1	1712.009	445.25032	752.06912	1076.8068	476.6251	419.63738	662.0404	486.8897	878.337	775.85777	449.8593	508.9787	560.062	721.8487	674.2197
SNX10	526.99987	440	423.0003	629.9996	129.00021	200.0002	726.9999	525.0001	780.9999	225.99992	171	646.00055	602.99926	826.9999	222.00033
SNX11	893	306.0003	578	1150.004	406.0002	322.9996	509.9997	508.9999	578.9997	592.9999	104	320	380.0003	528.0001	317.9998
SNX12	323	88.0000342	117.000000032706	210.0003	64.999956798	101	128.9996	117	166.000000106111	146.00001022714	86.99998542357	120.000343	90.000041348987	149.99998323286	117.99994790165
SNX13	122	54	117	91	45	82	68	59	82	108	42	47	46	102	85
SNX14	748	117	160.0004	285	159.0004	176.9998	189.9996	110	179	326	215	156.0004	202.9995	182.9997	268.0003
SNX15	216.1924	42.36353	53.5852	111.2985	64.04528	74.42919	55.4473	76.1343	75.5842	50.449	102.0372	65.8035	84.2975	100.408	134.4398
SNX16	32.99999	15	7	25	7	18	9	8	10	13	14	2	3	10.999964	37
SNX17	4997.39600020141	2070.98000003866	2810.92221866141	4360.67959806528	1334.66690790369	2064.1636	3294.49407465	3281.464115584	3782.67020105582	2738.1405	2188.40360104967	3072.7363263263	2894.4703100058	4171.9424466743	2787.04800321919
SNX18	373.0003	102.99998	104.00003	160.9998	73	83.00002	81.9999266013	83	77.000045	119.00019	135.00035	91.00005	54	95.99996	150.0002
SNX19	728	228	197	261	177	237	215	214	318	327	234	225	256	386	360
SNX2	363.696	106	66.1941	179.072	92.5804	113.224	115.176	99.262	118.274	187.471	156.053	92.5345	98.574	129.325	206.228
SNX20	2074.61952	262.8422	235.86718	468.59476	492.604	590.596	311.12378	340.488	481.32468	844.49517	519.76574	221.8673	359.70266	320.6545	726.47278
SNX21	85.4756257	21.0047478	33.94725	33.38566584	27.3996363	71.8629924	56.6065	54.1762227375498	42.9912520375635	66.2538257	47.6876587	30.3456178	30.20688	51.90908066803	103.1916
SNX22	263.4770908208	112.781183355	155.9262	214.3670218664	108.4010889583	121.4690527532	157.94411391	147.795234744	182.636106841	126.362111652	108.956168781	124.4050444681	142.8460690616	204.7030503546	171.560186122
SNX24	1	1	2	2	3	3	2	3	1	5	4	9	4	5	1
SNX25	135	33	31	30	23	35	22	39	28	59	16	27	35	34	59
SNX27	1597.88	511.198	669.925	826.785	405.899	462.807	640.529	552.999	677.966	551.401	443.143	452.776	431.198	801.947	655.945
SNX29	275	67	76	158	88.3018	109.25	79.055	83	135.706	96	108.197	104	98	149.309	138
SNX29P1	11.4759	3.24924	7	2.74264	0	6.50911	3.71456	0	0	12.9205	4.82497	4.07016	0	4.15753	2.00406
SNX29P2	53.6167	7.75076	0	8.32838	36.9476	48.2409	22.4329	21	10.2945	47.0795	71.9785	11.1103	16	25.5337	146.609
SNX3	358	120	108.00031	203	140	134	171	169	212	258	130	173	133	178.0001	140
SNX30	90	15	2	16	12	7	14	11	3	23	6	11	12	11	11
SNX31	1	1	3	0	0	1	1	0	0	0	5	0	0	2	2
SNX32	3	2	6	6	4	4	1	5	4	8	4	2	0	10	13
SNX33	13	7	4	7	7	15	4	5	27	6	21	13	9	25	13
SNX4	721.9999	208	215	447	189	198	313	269.0003	406	234	212	252	251	320	256.0003
SNX5	1275	560	703	1210	466	429	692	664	1120	657	315	516	527	865	609.0002
SNX6	1139.9976	368.00023	506	726	330	403.0005	607.99954	566	794.9999	625.9998	443	498.00035	501	725.9998	696.0001
SNX7	3	1	0	1	0	0	0	1	2	1	1	0	1	2	3
SNX8	75	120	69	154	42	55	135	189	156	63	72	134	171	177	95
SNX9	366	68	135	241	141	153	104	146	135	341	58	48	91	136	76
SOAT1	826.2915	359.7722	431.2656	609.9552	217.2347	279.2872	490.45937	420.317	491.01361	352.4622	286.866500087173	408.229	399.82562	410.888554312	383.8636
SOAT2	14	4	1	10	2	1	1	2	4	7	4	6	3	3	2
SOBP	16	0	0	11	1	7	6	3	12	10	5	5	0	13	5
SOCS1	172	139	234	451	73	73	235	254	279	119	50	209	189	255	26
SOCS2	73	78	24.00002	233.9996	9	22.99997	124.00001	108	175.9997	9	57.99998	207.00005	356.99945	438.0001	38.99999
SOCS2-AS1	4	1	3	0	1	2	2	4	9	0	7	3	8	2	8
SOCS3	6.06176	5	19	35	3	6	12.7687	31.5527	7.23531	6	2.18789	22	16	24	3
SOCS4	294.7971	147.6095	158.5469	226.558	121.5271	111.5918	184.9878	138.699	222.256	177.2735	62.63	133.5329	127.2371	234.3366	119.0849
SOCS5	96	25	68	46.999951	32	37.00002293	45.0000000223629	34.00003	31.00005	66	73	57.000000605948	63	91	86
SOCS6	44	35	66	38	38	11	13	22	7	24	9	11	16	14	8
SOCS7	318.186	97.0922	217.947	186.787	87.1483	72.0641	134.018	158.06	245.895	101.517	93.4969	120.545	109.724	171.769	131.56
SOD1	3258	2301	3506	4989	1115	1148	3409	4165	4362	1643	685	2663	2449	3741	984
SOD2	305.9995	187.00044	211.9999	330.0001	89	65	152.99998	167.0002	233.9997	88.00004	48	93.99996	100.99998	155.99955	80
SOD3	0	0	0	0	0	4	0	0	0	3	0	0	0	2	1
SOGA1	49.99997	33.00001	20.99995	24	20.00001	22.00002	11	13.99996	15.000044	18	11	14.99998	19.99999	11	56.99996
SOGA2	2	0	5	4	2	3	7	2	1	1	4	4	9	9	7
SOGA3	98.1256	52.2776	74.9032	108.928	39.8631	6.32767	45.7582	52.3121	51.2191	28.4827	41.1408	28.9985	47.6849	71.2985	34.7951
SOHLH1	1	2	2	0	1	3	1	2	1	1	3.999998	0	0	1	1
SOHLH2	0	0	0	0	0	1	1	0	0	1	0	0	0	2	1
SOLH	356	267	359	477	121	122	328	309	337	237	223	359	244	528	266
SON	4959	1578.996	2617.001	3856.005	1424	1783.003	2321.996	2597.002	2899.996	2381.999	1532.998	2293.997	2290.995	3256.003	2541
SORBS1	60.4532	20.3826	48.2681	23.4571	21.1307	39.64651	17.19203	10.2076	15.33906	36.5955	25.2769	10.05642	16.455	27.3485	27.3950700282988
SORBS2	14	1	0	3	5	3.999994	2	3.55421	1.04478	0	5	3.25939	0	5.999997	4.31809
SORBS3	7	6	8	24.00004	11	4	7	5	12	2	14	11	4	25.00005	7
SORCS1	3	2	1	2	8	6	3	2	1	6	6	3	2	4	3
SORCS2	2	2	2	0	1	1	1	0	6	1	2	8	4	5	6
SORCS3	6	0	1	0	0	3	1	2	0	2	3	1	0	1	2
SORD	230	64	108	316	31	52	67	89	85	38	9	43	29	63	44
SORL1	2455	250	475	572	514	962	669	564	751	1201	999	423	366	517	1478
SORT1	195.00022275	36.000033	96.000000162562	170.00023	47.999985	52	121.99984	80	98.99996	83.00003	28.000022	72.000023177	59.999963	84.99997634	87
SOS1	560	169	200	252	80	183	268	251	250	178	202	322	281	368	255
SOS2	210	50	54	113	53	117	75	45	89	115	100	54	68	83	137
SOST	1	1	1	19	1	2	1	1	2	0	2	3	0	1	5
SOSTDC1	3	1	0	0	1	0	0	0	2	2	0	0	0	0	1
SOWAHA	0	1	0	1	0	1	1	0	1	2	2	2	1	3	0
SOWAHB	1	0	0	1	0	0	0	0	2	4	1	1	1	0	1
SOWAHC	256.9	62.9025	110.725	122.289	64.4063	77.5647	78.7364	84.7244	98.078	79.0201	82.8502	94.0698	91.8081	120	140.491
SOWAHD	2	2	0	3	11	4	0	0	8	0	3	2	1	23	13
SOX1	2	0	3	1	1	1	1	1	1	0	3	0	3	2	3
SOX10	1	1	1	10	4	3	0	1	1	0	1	1	5	1	5
SOX11	33.0475	10.0018	9.00073	14.0091	10.0482	9.05021	8.01783	8.00462	15.0013	11.0238	22.0665	8.00492	17.0063	9.02993	17.0063
SOX12	3	2	12	7	5	17	4	5	5	15	17	11	2	7	14
SOX13	49	3	8	7	8	10	7	5	15	23	5	4	0	2	5
SOX14	0	0	0	3	1	0	0	0	1	1	2	0	0	0	1
SOX15	2	1	0	6	4	4	3	1	4	2	9	9	4	9	1
SOX17	2	0	0	1	0	0	5	0	0	3	0	0	0	2	2
SOX18	8	3	1	1	6	3	1	4	2	3	7	2	9	11	5
SOX2	0	0	2	1	5	1	1	2	0	2	1	0	1	3	3
SOX2-OT	72.9371	29.1443	20.6801	40.64698	38.64036	41.74728	36.59363	23.2316	33.5415	47.683	50.4971	25.88477	32.3923	47.7643	41.0727
SOX21	0	0	0	3	1	0	0	1	0	0	3	2	2	1	2
SOX3	1	0	0	0	0	0	0	2	0	1	0	1	0	0	1
SOX30	1	0	1	0	5	2	5	0	0	0	6	4	0	6	0
SOX4	2446.58	376.134	726.648	835.61	748.948	322.518	425.868	470.905	648.266	496.405	311.757	143.105	144.914	322.023	501.569
SOX5	6.08788	3	4.60556	8.14818	2.06345	4	1	1	4	7.03942	5	0	3.0242	2	9
SOX6	6	9	1	13	2.99999742024	7	0	3	0	7	5.0000034708	4	3	2	7
SOX7	48.5133	23.3113	10.4786	22.386	10.3449	26.0327	16.5186	13.0489	17.3497	30.1744	13.5058	14.6076	12.5869	24.4495	30.9527
SOX8	5	1	1	2	2	2	2	1	0	4	4	5	2	1	2
SOX9	2	0	0	2	0	2	0	1	0	2	1	0	0	4	0
SP1	459.16583	148.999859574775	239.99966588	394.9999294	150.0004109	133.562000090258	205.0648	159.0000101	288.9998	249.6876555	156.342004428344	221.03300540816	176.0000816	208.0001003	261.5961
SP100	5229.0424	828.6686	1102.2149	1802.1338	1364.5178	1705.2725	1349.218	1309.7501	1279.91471	2496.18647	1652.5356	1198.5056	1251.7542	1502.12422	2562.8432
SP110	1402.999	270.0001	492.999	532	318.9994	569	576.0007	638.9995	765.9999	866	580.9999	559.9997	513.9993	887.0001	894.9998
SP140	1234.253	227.0899	401.374	724.7309	332.7045	683.91	715.368	658.559	850.819	1196.531	395.7773	446.4448	397.8969	590.429	738.4917
